version,date,time,candidate,region,sort,pct_transmitted,start_transmitted,count,increment,count_leni,count_bbm,inc_leni,inc_bbm
2,5/9/16,9:23:32 PM,BBM,CAR,0.5,0.6208,0.6208,306456,306456,0,-306456,0,-306456
2,5/9/16,9:23:32 PM,BBM,REGION I,1,0.7632,0.7632,1376254,1376254,0,-1376254,0,-1376254
2,5/9/16,9:23:32 PM,BBM,REGION II,2,0.7173,0.7173,815291,815291,0,-815291,0,-815291
2,5/9/16,9:23:32 PM,BBM,REGION III,3,0.8355,0.8355,1783617,1783617,0,-1783617,0,-1783617
2,5/9/16,9:23:32 PM,BBM,NCR,3.5,0.9050,0.9050,1972875,1972875,0,-1972875,0,-1972875
2,5/9/16,9:23:32 PM,BBM,REGION IV-A,4,0.7476,0.7476,1460990,1460990,0,-1460990,0,-1460990
2,5/9/16,9:23:32 PM,BBM,REGION IV-B,4,0.4697,0.4697,145061,145061,0,-145061,0,-145061
2,5/9/16,9:23:32 PM,BBM,REGION V,5,0.5443,0.5443,107261,107261,0,-107261,0,-107261
2,5/9/16,9:23:32 PM,BBM,REGION VI,6,0.6294,0.6294,189172,189172,0,-189172,0,-189172
2,5/9/16,9:23:32 PM,BBM,NIR,6.5,0.6117,0.6117,159163,159163,0,-159163,0,-159163
2,5/9/16,9:23:32 PM,BBM,REGION VII,7,0.6051,0.6051,274473,274473,0,-274473,0,-274473
2,5/9/16,9:23:32 PM,BBM,REGION VIII,8,0.4658,0.4658,406644,406644,0,-406644,0,-406644
2,5/9/16,9:23:32 PM,BBM,REGION IX,9,0.5499,0.5499,190149,190149,0,-190149,0,-190149
2,5/9/16,9:23:32 PM,BBM,REGION X,10,0.6169,0.6169,298271,298271,0,-298271,0,-298271
2,5/9/16,9:23:32 PM,BBM,REGION XI,11,0.5686,0.5686,273816,273816,0,-273816,0,-273816
2,5/9/16,9:23:32 PM,BBM,REGION XII,12,0.5303,0.5303,291089,291089,0,-291089,0,-291089
2,5/9/16,9:23:32 PM,BBM,REGION XIII,13,0.4361,0.4361,115702,115702,0,-115702,0,-115702
2,5/9/16,9:23:32 PM,BBM,ARMM,14,0.2028,0.2028,75572,75572,0,-75572,0,-75572
2,5/9/16,9:23:32 PM,BBM,OAV,15,0.0000,0.0000,0,0,0,0,0,0
2,5/9/16,9:23:32 PM,Leni,CAR,0.5,0.6208,0.6208,78173,78173,78173,0,78173,0
2,5/9/16,9:23:32 PM,Leni,REGION I,1,0.7632,0.7632,227836,227836,227836,0,227836,0
2,5/9/16,9:23:32 PM,Leni,REGION II,2,0.7173,0.7173,132135,132135,132135,0,132135,0
2,5/9/16,9:23:32 PM,Leni,REGION III,3,0.8355,0.8355,1133769,1133769,1133769,0,1133769,0
2,5/9/16,9:23:32 PM,Leni,NCR,3.5,0.9050,0.9050,1237767,1237767,1237767,0,1237767,0
2,5/9/16,9:23:32 PM,Leni,REGION IV-A,4,0.7476,0.7476,1484627,1484627,1484627,0,1484627,0
2,5/9/16,9:23:32 PM,Leni,REGION IV-B,4,0.4697,0.4697,237799,237799,237799,0,237799,0
2,5/9/16,9:23:32 PM,Leni,REGION V,5,0.5443,0.5443,900730,900730,900730,0,900730,0
2,5/9/16,9:23:32 PM,Leni,REGION VI,6,0.6294,0.6294,842577,842577,842577,0,842577,0
2,5/9/16,9:23:32 PM,Leni,NIR,6.5,0.6117,0.6117,642963,642963,642963,0,642963,0
2,5/9/16,9:23:32 PM,Leni,REGION VII,7,0.6051,0.6051,691473,691473,691473,0,691473,0
2,5/9/16,9:23:32 PM,Leni,REGION VIII,8,0.4658,0.4658,318101,318101,318101,0,318101,0
2,5/9/16,9:23:32 PM,Leni,REGION IX,9,0.5499,0.5499,267123,267123,267123,0,267123,0
2,5/9/16,9:23:32 PM,Leni,REGION X,10,0.6169,0.6169,441440,441440,441440,0,441440,0
2,5/9/16,9:23:32 PM,Leni,REGION XI,11,0.5686,0.5686,117505,117505,117505,0,117505,0
2,5/9/16,9:23:32 PM,Leni,REGION XII,12,0.5303,0.5303,243425,243425,243425,0,243425,0
2,5/9/16,9:23:32 PM,Leni,REGION XIII,13,0.4361,0.4361,195323,195323,195323,0,195323,0
2,5/9/16,9:23:32 PM,Leni,ARMM,14,0.2028,0.2028,113499,113499,113499,0,113499,0
2,5/9/16,9:23:32 PM,Leni,OAV,15,0.0000,0.0000,0,0,0,0,0,0
3,5/9/16,10:11:27 PM,BBM,CAR,0.5,0.6732,0.6208,327971,21515,0,-327971,0,-21515
3,5/9/16,10:11:27 PM,BBM,REGION I,1,0.7978,0.7632,1436563,60309,0,-1436563,0,-60309
3,5/9/16,10:11:27 PM,BBM,REGION II,2,0.7727,0.7173,865642,50351,0,-865642,0,-50351
3,5/9/16,10:11:27 PM,BBM,REGION III,3,0.8686,0.8355,1853788,70171,0,-1853788,0,-70171
3,5/9/16,10:11:27 PM,BBM,NCR,3.5,0.9305,0.9050,2029716,56841,0,-2029716,0,-56841
3,5/9/16,10:11:27 PM,BBM,REGION IV-A,4,0.7813,0.7476,1508287,47297,0,-1508287,0,-47297
3,5/9/16,10:11:27 PM,BBM,REGION IV-B,4,0.5000,0.4697,152709,7648,0,-152709,0,-7648
3,5/9/16,10:11:27 PM,BBM,REGION V,5,0.5933,0.5443,116284,9023,0,-116284,0,-9023
3,5/9/16,10:11:27 PM,BBM,REGION VI,6,0.6715,0.6294,199196,10024,0,-199196,0,-10024
3,5/9/16,10:11:27 PM,BBM,NIR,6.5,0.6424,0.6117,165467,6304,0,-165467,0,-6304
3,5/9/16,10:11:27 PM,BBM,REGION VII,7,0.6506,0.6051,289710,15237,0,-289710,0,-15237
3,5/9/16,10:11:27 PM,BBM,REGION VIII,8,0.5255,0.4658,443536,36892,0,-443536,0,-36892
3,5/9/16,10:11:27 PM,BBM,REGION IX,9,0.5956,0.5499,202629,12480,0,-202629,0,-12480
3,5/9/16,10:11:27 PM,BBM,REGION X,10,0.6793,0.6169,325158,26887,0,-325158,0,-26887
3,5/9/16,10:11:27 PM,BBM,REGION XI,11,0.6300,0.5686,303221,29405,0,-303221,0,-29405
3,5/9/16,10:11:27 PM,BBM,REGION XII,12,0.6207,0.5303,333764,42675,0,-333764,0,-42675
3,5/9/16,10:11:27 PM,BBM,REGION XIII,13,0.4687,0.4361,122518,6816,0,-122518,0,-6816
3,5/9/16,10:11:27 PM,BBM,ARMM,14,0.2501,0.2028,96640,21068,0,-96640,0,-21068
3,5/9/16,10:11:27 PM,BBM,OAV,15,0.0000,0.0000,0,0,0,0,0,0
3,5/9/16,10:11:27 PM,Leni,CAR,0.5,0.6732,0.6208,84451,6278,84451,0,6278,0
3,5/9/16,10:11:27 PM,Leni,REGION I,1,0.7978,0.7632,237629,9793,237629,0,9793,0
3,5/9/16,10:11:27 PM,Leni,REGION II,2,0.7727,0.7173,143749,11614,143749,0,11614,0
3,5/9/16,10:11:27 PM,Leni,REGION III,3,0.8686,0.8355,1171847,38078,1171847,0,38078,0
3,5/9/16,10:11:27 PM,Leni,NCR,3.5,0.9305,0.9050,1274071,36304,1274071,0,36304,0
3,5/9/16,10:11:27 PM,Leni,REGION IV-A,4,0.7813,0.7476,1549262,64635,1549262,0,64635,0
3,5/9/16,10:11:27 PM,Leni,REGION IV-B,4,0.5000,0.4697,253545,15746,253545,0,15746,0
3,5/9/16,10:11:27 PM,Leni,REGION V,5,0.5933,0.5443,971496,70766,971496,0,70766,0
3,5/9/16,10:11:27 PM,Leni,REGION VI,6,0.6715,0.6294,897603,55026,897603,0,55026,0
3,5/9/16,10:11:27 PM,Leni,NIR,6.5,0.6424,0.6117,673670,30707,673670,0,30707,0
3,5/9/16,10:11:27 PM,Leni,REGION VII,7,0.6506,0.6051,740617,49144,740617,0,49144,0
